Income_source,Savings_habits,Borrowing_status,Financial_education,Age,Gender,Marital_status,Educational_level,Geographic_location,NIDA_number,Smartphone_ownership,has_bank_account
farmers and fishers,no,no,False,52,male,marriedliving together,some primary,rural,no,no,one account
traders  agricultural products,yes,yes,False,41,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,32,male,marriedliving together,secondary competedo level,rural,yes,no,one account
piece workcasual labor,no,no,False,18,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,39,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,39,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,46,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,71,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,33,female,marriedliving together,no formal education,rural,no,no,one account
traders  nonagricultural,no,yes,False,36,female,divorcedseparated,no formal education,rural,yes,no,one account
farmers and fishers,yes,yes,False,58,male,marriedliving together,primary completed,rural,no,yes,one account
farmers and fishers,no,no,False,57,male,marriedliving together,no formal education,rural,no,no,one account
dependents,yes,no,False,30,female,marriedliving together,primary completed,rural,yes,no,one account
informal sector salaried,yes,yes,False,28,female,divorcedseparated,post primary technical training,rural,yes,yes,one account
traders  nonagricultural,yes,no,False,25,female,divorcedseparated,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,36,female,divorcedseparated,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,37,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,32,male,marriedliving together,primary completed,rural,no,no,one account
service providers,yes,no,False,37,female,divorcedseparated,some primary,rural,no,no,one account
piece workcasual labor,yes,yes,False,56,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,39,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,75,female,marriedliving together,no formal education,rural,yes,no,one account
farmers and fishers,no,yes,False,60,male,marriedliving together,some primary,rural,no,no,one account
dependents,no,yes,False,23,female,marriedliving together,secondary competedo level,rural,no,no,one account
farmers and fishers,no,no,True,66,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,48,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,29,female,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,no,no,False,55,female,widowed,some primary,rural,no,no,one account
farmers and fishers,no,no,False,69,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,64,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,30,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,68,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,70,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,57,male,marriedliving together,primary completed,rural,yes,yes,one account
farmers and fishers,no,yes,False,24,male,marriedliving together,primary completed,rural,no,no,one account
informal sector salaried,yes,no,True,33,male,marriedliving together,secondary competedo level,rural,no,yes,one account
piece workcasual labor,no,no,False,48,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,48,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,24,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,41,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,23,male,marriedliving together,primary completed,rural,no,yes,one account
piece workcasual labor,yes,yes,False,30,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,31,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,72,male,marriedliving together,primary completed,rural,no,no,one account
traders  nonagricultural,yes,no,False,24,female,marriedliving together,primary completed,rural,no,yes,one account
farmers and fishers,no,no,False,41,male,marriedliving together,secondary competedo level,rural,no,no,one account
farmers and fishers,no,yes,False,21,female,singlenever married,primary completed,rural,no,no,one account
dependents,no,no,False,18,female,singlenever married,some primary,rural,no,yes,one account
dependents,yes,yes,False,33,female,marriedliving together,secondary competedo level,rural,yes,no,one account
piece workcasual labor,yes,yes,False,36,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,29,male,marriedliving together,some secondary,rural,yes,no,one account
farmers and fishers,no,no,False,42,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,39,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,49,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,18,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,52,male,marriedliving together,no formal education,rural,no,no,one account
traders  nonagricultural,yes,no,False,39,female,marriedliving together,primary completed,rural,no,yes,one account
piece workcasual labor,no,no,False,29,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,yes,yes,True,53,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,36,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,63,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,36,female,divorcedseparated,some primary,rural,no,no,one account
farmers and fishers,no,no,False,53,male,marriedliving together,primary completed,rural,no,no,one account
service providers,yes,no,False,35,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,True,50,female,divorcedseparated,primary completed,rural,yes,no,one account
piece workcasual labor,no,yes,False,31,male,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,no,no,False,25,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,32,female,marriedliving together,secondary competedo level,rural,no,no,one account
farmers and fishers,no,no,False,78,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,yes,False,50,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,32,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,45,female,divorcedseparated,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,60,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,no,False,41,male,marriedliving together,some primary,rural,no,no,one account
other,yes,yes,False,68,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,27,male,singlenever married,some primary,rural,no,no,one account
piece workcasual labor,yes,no,False,46,female,widowed,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,True,53,male,marriedliving together,primary completed,rural,yes,no,two or three accounts
piece workcasual labor,yes,no,False,27,female,singlenever married,secondary competedo level,rural,yes,yes,one account
dependents,yes,yes,False,25,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,36,male,divorcedseparated,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,24,male,marriedliving together,primary completed,rural,no,no,one account
dependents,no,yes,False,34,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,30,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,19,female,marriedliving together,primary completed,rural,no,yes,one account
farmers and fishers,yes,no,False,35,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,yes,True,46,male,marriedliving together,primary completed,rural,yes,no,one account
service providers,yes,yes,False,44,male,marriedliving together,some secondary,rural,yes,yes,one account
farmers and fishers,no,yes,False,43,female,marriedliving together,primary completed,rural,yes,no,one account
piece workcasual labor,yes,yes,False,26,female,marriedliving together,some primary,rural,no,no,one account
dependents,no,no,False,73,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,47,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,30,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,35,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,40,male,marriedliving together,some primary,rural,yes,no,one account
piece workcasual labor,yes,no,False,21,male,singlenever married,some secondary,rural,no,no,one account
dependents,yes,yes,False,60,female,widowed,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,21,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,38,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,39,female,divorcedseparated,no formal education,rural,no,no,one account
other,no,no,False,25,male,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,no,False,54,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,33,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,32,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,47,male,marriedliving together,primary completed,rural,yes,no,two or three accounts
dependents,no,no,False,55,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,24,male,marriedliving together,some primary,rural,yes,no,one account
piece workcasual labor,no,no,False,46,female,singlenever married,primary completed,rural,no,no,one account
dependents,no,no,False,20,female,singlenever married,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,yes,False,70,male,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,52,female,widowed,primary completed,rural,yes,no,one account
dependents,no,no,False,71,male,marriedliving together,some primary,zanzibar,no,yes,one account
piece workcasual labor,yes,yes,False,56,male,marriedliving together,primary completed,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,21,male,singlenever married,some secondary,zanzibar,no,yes,one account
dependents,yes,no,False,36,female,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,47,male,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,42,male,marriedliving together,some primary,zanzibar,no,no,one account
dependents,yes,no,False,23,female,marriedliving together,some secondary,zanzibar,yes,no,one account
traders  nonagricultural,yes,no,False,62,female,widowed,some primary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,32,male,marriedliving together,primary completed,zanzibar,no,no,one account
traders  nonagricultural,yes,yes,False,40,male,marriedliving together,some secondary,zanzibar,no,no,one account
service providers,yes,yes,False,27,female,marriedliving together,some primary,zanzibar,no,no,one account
formal sector salaried,no,yes,False,46,male,marriedliving together,university or higher education completed,zanzibar,no,yes,two or three accounts
piece workcasual labor,yes,yes,False,20,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
farmers and fishers,yes,yes,False,30,male,marriedliving together,primary completed,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,47,female,marriedliving together,primary completed,zanzibar,no,yes,one account
piece workcasual labor,no,yes,False,33,male,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,28,female,marriedliving together,primary completed,zanzibar,no,no,one account
other,no,yes,False,30,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,yes,yes,True,54,female,marriedliving together,no formal education,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,63,male,divorcedseparated,some secondary,zanzibar,no,no,one account
farmers and fishers,yes,yes,False,36,male,marriedliving together,some secondary,zanzibar,no,no,one account
formal sector salaried,yes,yes,False,24,male,marriedliving together,secondary completeda level,zanzibar,no,yes,one account
dependents,no,no,False,48,female,widowed,no formal education,zanzibar,no,no,one account
dependents,no,no,False,40,female,marriedliving together,no formal education,zanzibar,no,no,one account
welfare,no,yes,False,28,female,marriedliving together,some secondary,zanzibar,no,no,one account
farmers and fishers,no,no,False,59,male,marriedliving together,some secondary,zanzibar,no,no,one account
traders  nonagricultural,yes,no,False,54,female,widowed,no formal education,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,37,female,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,yes,yes,False,62,female,widowed,some primary,zanzibar,no,no,one account
pension,yes,no,False,75,male,divorcedseparated,some primary,zanzibar,no,no,one account
traders  nonagricultural,yes,no,False,34,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
farmers and fishers,no,no,False,26,male,marriedliving together,some primary,zanzibar,yes,no,one account
farmers and fishers,yes,yes,False,36,female,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,42,female,marriedliving together,primary completed,zanzibar,no,no,one account
piece workcasual labor,no,yes,False,62,female,marriedliving together,no formal education,zanzibar,no,no,one account
traders  agricultural products,no,no,False,36,female,marriedliving together,some primary,zanzibar,no,no,one account
dependents,no,no,False,31,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
other,no,yes,False,47,female,widowed,no formal education,zanzibar,no,no,one account
formal sector salaried,no,yes,False,58,male,marriedliving together,secondary competedo level,zanzibar,no,yes,one account
informal sector salaried,yes,no,True,53,male,marriedliving together,university or higher education completed,dar es salaam,no,no,one account
traders  nonagricultural,yes,no,True,31,male,marriedliving together,university or higher education completed,dar es salaam,no,yes,one account
traders  nonagricultural,no,no,True,35,male,marriedliving together,university or higher education completed,dar es salaam,yes,yes,one account
dependents,yes,no,False,22,male,singlenever married,some university or other higher education,dar es salaam,no,yes,one account
piece workcasual labor,no,no,False,37,female,singlenever married,primary completed,dar es salaam,no,no,one account
dependents,no,no,False,60,female,widowed,primary completed,dar es salaam,no,no,one account
traders  agricultural products,no,no,True,62,female,divorcedseparated,no formal education,dar es salaam,no,no,one account
dependents,yes,no,False,23,female,singlenever married,some university or other higher education,dar es salaam,no,yes,one account
dependents,yes,no,False,18,male,singlenever married,some university or other higher education,dar es salaam,no,yes,one account
dependents,yes,no,True,41,female,marriedliving together,some university or other higher education,dar es salaam,no,yes,one account
traders  nonagricultural,yes,no,False,60,female,widowed,primary completed,dar es salaam,no,no,one account
dependents,no,no,False,67,female,marriedliving together,no formal education,dar es salaam,no,no,one account
dependents,no,no,False,20,male,singlenever married,some university or other higher education,dar es salaam,yes,yes,one account
piece workcasual labor,no,no,False,39,male,divorcedseparated,secondary competedo level,dar es salaam,no,no,one account
dependents,no,no,False,24,female,marriedliving together,secondary competedo level,dar es salaam,no,no,one account
piece workcasual labor,no,no,False,74,female,divorcedseparated,no formal education,dar es salaam,yes,no,one account
traders  nonagricultural,yes,yes,False,33,female,marriedliving together,some university or other higher education,dar es salaam,no,yes,one account
traders  nonagricultural,yes,yes,False,36,male,marriedliving together,primary completed,dar es salaam,no,yes,one account
dependents,no,no,True,22,female,marriedliving together,some university or other higher education,dar es salaam,no,no,one account
traders  nonagricultural,no,no,False,37,female,divorcedseparated,primary completed,other urban,no,no,one account
dependents,no,no,False,72,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,no,no,False,72,female,widowed,no formal education,other urban,no,no,one account
dependents,no,no,False,64,female,widowed,no formal education,other urban,yes,no,one account
traders  nonagricultural,no,yes,False,33,male,marriedliving together,primary completed,other urban,yes,no,one account
piece workcasual labor,no,yes,False,39,female,marriedliving together,some primary,other urban,no,no,one account
formal sector salaried,yes,yes,True,27,female,singlenever married,university or higher education completed,other urban,yes,yes,two or three accounts
traders  agricultural products,no,yes,False,40,female,marriedliving together,primary completed,other urban,yes,no,one account
piece workcasual labor,no,yes,False,58,female,divorcedseparated,primary completed,other urban,yes,no,one account
formal sector salaried,yes,yes,True,25,male,singlenever married,secondary competedo level,other urban,yes,no,one account
service providers,yes,yes,False,48,female,divorcedseparated,primary completed,other urban,no,no,one account
traders  nonagricultural,yes,yes,False,45,female,widowed,primary completed,other urban,no,no,one account
piece workcasual labor,yes,no,False,29,male,singlenever married,primary completed,other urban,no,no,one account
piece workcasual labor,no,no,False,40,male,marriedliving together,some primary,other urban,no,no,one account
informal sector salaried,no,no,False,20,female,singlenever married,primary completed,other urban,no,no,one account
dependents,yes,yes,False,33,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,yes,no,True,81,male,marriedliving together,no formal education,other urban,no,no,one account
traders  nonagricultural,yes,yes,False,41,male,marriedliving together,primary completed,other urban,no,no,one account
formal sector salaried,no,yes,False,50,male,marriedliving together,primary completed,other urban,no,no,one account
service providers,yes,no,False,22,female,singlenever married,secondary competedo level,other urban,yes,no,one account
piece workcasual labor,no,no,False,26,female,singlenever married,primary completed,other urban,yes,no,one account
service providers,yes,no,False,25,female,divorcedseparated,secondary competedo level,other urban,no,no,one account
traders  nonagricultural,yes,yes,False,29,female,marriedliving together,secondary competedo level,other urban,no,no,one account
traders  nonagricultural,no,no,False,31,female,marriedliving together,primary completed,other urban,no,no,one account
other,no,no,False,42,female,widowed,no formal education,other urban,yes,no,one account
piece workcasual labor,yes,yes,False,41,male,divorcedseparated,no formal education,other urban,no,no,one account
traders  nonagricultural,no,no,False,63,male,marriedliving together,secondary completeda level,other urban,yes,yes,one account
dependents,yes,no,False,16,male,singlenever married,some secondary,other urban,no,no,one account
traders  nonagricultural,no,no,False,43,male,marriedliving together,primary completed,other urban,no,yes,one account
service providers,no,yes,False,22,female,singlenever married,secondary competedo level,other urban,no,yes,one account
dependents,no,no,False,30,female,marriedliving together,secondary competedo level,other urban,yes,no,one account
traders  nonagricultural,yes,no,False,44,female,widowed,some secondary,other urban,no,no,one account
dependents,yes,no,False,23,female,singlenever married,some secondary,other urban,yes,yes,one account
traders  agricultural products,yes,no,False,41,female,marriedliving together,some primary,other urban,no,no,one account
informal sector salaried,yes,no,False,36,male,marriedliving together,primary completed,other urban,no,no,one account
informal sector salaried,yes,no,True,32,female,marriedliving together,university or higher education completed,other urban,yes,no,one account
formal sector salaried,yes,yes,False,47,female,marriedliving together,primary completed,other urban,yes,yes,one account
informal sector salaried,no,no,False,49,male,marriedliving together,primary completed,other urban,yes,no,one account
dependents,no,no,False,73,male,marriedliving together,primary completed,other urban,yes,yes,one account
traders  nonagricultural,yes,no,False,49,female,divorcedseparated,primary completed,other urban,yes,no,one account
piece workcasual labor,yes,no,False,28,female,singlenever married,primary completed,other urban,no,no,one account
piece workcasual labor,no,no,False,68,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,no,yes,False,55,male,marriedliving together,primary completed,other urban,yes,no,one account
piece workcasual labor,no,no,False,16,male,singlenever married,secondary competedo level,other urban,no,yes,one account
piece workcasual labor,yes,yes,False,35,male,marriedliving together,secondary competedo level,other urban,yes,no,one account
traders  nonagricultural,yes,yes,True,55,female,marriedliving together,secondary competedo level,other urban,yes,no,one account
dependents,yes,no,False,38,female,marriedliving together,primary completed,other urban,no,no,one account
other,yes,yes,False,21,female,singlenever married,primary completed,other urban,no,no,one account
traders  agricultural products,no,yes,False,37,female,marriedliving together,primary completed,other urban,no,no,one account
farmers and fishers,no,yes,False,50,female,divorcedseparated,primary completed,other urban,no,no,one account
piece workcasual labor,no,yes,False,37,male,marriedliving together,some secondary,other urban,no,no,one account
piece workcasual labor,no,yes,True,52,female,marriedliving together,primary completed,other urban,yes,no,one account
farmers and fishers,no,yes,False,54,female,marriedliving together,primary completed,other urban,yes,no,one account
dependents,yes,no,False,30,female,marriedliving together,secondary competedo level,other urban,yes,no,one account
dependents,no,no,False,35,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,yes,no,False,48,female,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,yes,yes,False,22,female,marriedliving together,some primary,other urban,no,no,one account
dependents,no,yes,False,27,male,singlenever married,post primary technical training,other urban,no,no,one account
traders  agricultural products,no,no,False,35,female,divorcedseparated,some primary,other urban,no,no,one account
piece workcasual labor,yes,yes,False,26,male,singlenever married,secondary competedo level,other urban,no,yes,one account
dependents,no,yes,False,43,female,marriedliving together,primary completed,other urban,no,yes,one account
piece workcasual labor,no,yes,False,28,female,marriedliving together,primary completed,other urban,no,no,one account
formal sector salaried,yes,yes,True,32,male,marriedliving together,secondary competedo level,other urban,no,no,one account
piece workcasual labor,yes,no,False,32,male,marriedliving together,some primary,other urban,no,no,one account
traders  nonagricultural,no,yes,False,22,female,singlenever married,some primary,other urban,no,no,one account
service providers,yes,yes,False,38,female,marriedliving together,secondary competedo level,other urban,no,no,one account
piece workcasual labor,no,no,False,40,female,marriedliving together,primary completed,other urban,no,no,one account
formal sector salaried,no,yes,False,24,female,singlenever married,secondary competedo level,other urban,no,yes,one account
traders  nonagricultural,yes,yes,False,35,female,widowed,primary completed,other urban,no,no,one account
piece workcasual labor,no,no,False,19,male,singlenever married,secondary competedo level,other urban,no,no,one account
service providers,no,no,True,31,female,divorcedseparated,secondary competedo level,other urban,yes,yes,one account
service providers,no,no,False,47,female,widowed,primary completed,other urban,no,no,one account
piece workcasual labor,yes,no,False,49,male,marriedliving together,primary completed,other urban,yes,no,one account
traders  nonagricultural,yes,yes,False,42,female,marriedliving together,primary completed,other urban,yes,yes,one account
dependents,no,no,False,67,male,divorcedseparated,primary completed,other urban,no,no,two or three accounts
dependents,no,yes,False,18,female,singlenever married,secondary competedo level,other urban,no,no,one account
service providers,no,no,False,41,female,divorcedseparated,primary completed,other urban,no,no,one account
traders  agricultural products,yes,no,False,29,female,marriedliving together,primary completed,other urban,yes,yes,one account
dependents,no,no,False,31,female,marriedliving together,some secondary,other urban,no,yes,one account
piece workcasual labor,yes,yes,False,52,female,widowed,some primary,other urban,yes,yes,one account
traders  nonagricultural,yes,no,False,26,male,singlenever married,primary completed,other urban,yes,no,one account
pension,yes,yes,True,68,male,divorcedseparated,primary completed,other urban,no,no,one account
dependents,no,yes,False,19,female,singlenever married,secondary competedo level,other urban,no,no,one account
service providers,no,yes,False,45,female,marriedliving together,no formal education,other urban,no,no,one account
informal sector salaried,no,no,False,40,male,widowed,secondary competedo level,other urban,no,yes,one account
dependents,no,no,False,65,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,no,yes,False,33,female,marriedliving together,primary completed,other urban,no,no,one account
traders  nonagricultural,no,yes,False,42,female,marriedliving together,secondary competedo level,other urban,yes,no,one account
dependents,no,yes,False,21,female,singlenever married,some secondary,other urban,no,no,one account
traders  nonagricultural,no,yes,False,40,female,marriedliving together,primary completed,other urban,yes,no,one account
dependents,yes,no,False,41,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,yes,yes,True,19,female,marriedliving together,secondary competedo level,other urban,no,yes,one account
dependents,no,no,False,36,female,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,no,no,False,62,female,widowed,primary completed,other urban,yes,no,one account
dependents,no,yes,False,22,female,singlenever married,some secondary,other urban,yes,yes,one account
traders  agricultural products,no,yes,False,30,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,yes,no,True,17,male,singlenever married,some secondary,other urban,no,no,one account
piece workcasual labor,yes,no,False,45,female,marriedliving together,primary completed,other urban,no,no,one account
formal sector salaried,yes,yes,True,36,male,marriedliving together,university or higher education completed,other urban,no,yes,one account
service providers,no,no,False,49,female,marriedliving together,some primary,other urban,no,yes,one account
piece workcasual labor,yes,no,False,21,female,marriedliving together,primary completed,other urban,no,no,one account
informal sector salaried,no,yes,False,50,male,marriedliving together,some secondary,other urban,yes,no,one account
dependents,no,yes,False,43,female,marriedliving together,primary completed,other urban,no,no,one account
formal sector salaried,yes,yes,False,25,male,singlenever married,some secondary,rural,no,no,one account
piece workcasual labor,no,no,False,44,male,singlenever married,some secondary,rural,no,no,one account
traders  nonagricultural,yes,yes,False,32,male,marriedliving together,secondary competedo level,rural,yes,no,one account
piece workcasual labor,no,no,False,50,female,singlenever married,primary completed,rural,no,no,one account
other,yes,yes,True,49,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,30,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,64,female,widowed,no formal education,rural,no,no,one account
traders  nonagricultural,yes,yes,False,30,female,marriedliving together,secondary competedo level,rural,no,no,one account
traders  nonagricultural,no,no,False,23,female,widowed,primary completed,rural,yes,no,one account
piece workcasual labor,yes,yes,False,29,female,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,no,False,94,female,widowed,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,19,male,singlenever married,some secondary,rural,no,no,one account
dependents,no,no,False,74,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,24,female,divorcedseparated,primary completed,rural,yes,no,one account
traders  nonagricultural,no,yes,False,37,female,divorcedseparated,some primary,rural,no,no,one account
piece workcasual labor,yes,yes,False,29,male,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,46,female,marriedliving together,primary completed,rural,no,yes,one account
service providers,yes,yes,False,25,male,singlenever married,primary completed,rural,no,yes,one account
service providers,yes,yes,False,38,male,marriedliving together,primary completed,rural,no,yes,one account
piece workcasual labor,yes,yes,False,18,female,singlenever married,primary completed,rural,no,yes,one account
service providers,no,yes,False,25,female,marriedliving together,some primary,rural,no,no,one account
dependents,yes,yes,False,18,male,singlenever married,secondary competedo level,rural,no,yes,one account
traders  nonagricultural,no,yes,False,48,female,singlenever married,primary completed,rural,yes,no,one account
dependents,yes,yes,False,21,female,marriedliving together,secondary competedo level,rural,no,yes,one account
piece workcasual labor,no,no,False,52,female,divorcedseparated,no formal education,rural,no,no,one account
piece workcasual labor,yes,no,False,24,male,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,76,female,widowed,some primary,rural,no,no,one account
dependents,no,yes,True,53,female,marriedliving together,no formal education,rural,no,no,one account
formal sector salaried,yes,no,True,32,male,singlenever married,secondary competedo level,rural,no,yes,one account
traders  nonagricultural,yes,yes,False,29,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,20,female,marriedliving together,primary completed,rural,no,yes,one account
dependents,no,no,False,18,female,singlenever married,secondary competedo level,rural,no,no,one account
informal sector salaried,no,no,False,28,male,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,66,female,widowed,some primary,rural,no,no,one account
dependents,yes,no,False,19,female,singlenever married,primary completed,rural,no,no,one account
traders  agricultural products,no,no,False,58,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,yes,yes,False,42,female,marriedliving together,some secondary,zanzibar,no,yes,one account
formal sector salaried,yes,yes,False,31,male,marriedliving together,secondary competedo level,zanzibar,no,no,two or three accounts
dependents,no,yes,False,55,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,yes,False,19,female,singlenever married,some secondary,zanzibar,no,no,one account
formal sector salaried,yes,no,False,50,female,marriedliving together,secondary competedo level,zanzibar,no,yes,one account
dependents,no,yes,False,22,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
formal sector salaried,yes,yes,False,36,male,marriedliving together,secondary competedo level,zanzibar,no,yes,two or three accounts
service providers,yes,yes,False,59,male,marriedliving together,primary completed,zanzibar,no,no,one account
dependents,yes,no,True,27,female,marriedliving together,some university or other higher education,zanzibar,no,yes,one account
dependents,no,no,True,30,female,marriedliving together,some primary,zanzibar,no,no,one account
dependents,yes,no,False,58,female,marriedliving together,no formal education,zanzibar,no,no,one account
dependents,no,yes,True,28,female,singlenever married,secondary competedo level,zanzibar,no,no,one account
traders  nonagricultural,yes,yes,False,31,female,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,42,female,divorcedseparated,some primary,zanzibar,no,no,one account
piece workcasual labor,no,no,False,42,female,marriedliving together,some secondary,zanzibar,no,no,one account
farmers and fishers,yes,no,False,40,male,marriedliving together,some secondary,zanzibar,no,no,one account
dependents,no,no,False,78,male,widowed,no formal education,zanzibar,no,no,one account
formal sector salaried,no,yes,False,42,female,marriedliving together,some secondary,zanzibar,no,no,one account
traders  nonagricultural,no,no,False,22,female,singlenever married,secondary competedo level,zanzibar,no,yes,one account
dependents,no,no,False,63,female,widowed,some primary,zanzibar,no,no,one account
traders  nonagricultural,no,yes,False,58,male,marriedliving together,secondary competedo level,zanzibar,no,no,one account
dependents,yes,yes,False,23,female,singlenever married,secondary competedo level,zanzibar,no,yes,one account
dependents,no,no,False,37,female,divorcedseparated,some secondary,zanzibar,no,no,one account
traders  nonagricultural,no,yes,False,62,female,divorcedseparated,no formal education,zanzibar,no,no,one account
dependents,yes,yes,False,18,male,singlenever married,some secondary,zanzibar,no,no,one account
